Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)"
Albania,ALB,1990,4827.0513
Algeria,DZA,1990,8828.874
Angola,AGO,1990,5793.0845
Antigua and Barbuda,ATG,1990,17016.865
Argentina,ARG,1990,14136.525
Armenia,ARM,1990,5153.2983
Aruba,ABW,1990,32278.87
Australia,AUS,1990,30897.965
Austria,AUT,1990,37494.56
Azerbaijan,AZE,1990,7616.91
Bahamas,BHS,1990,36161.11
Bahrain,BHR,1990,36997.734
Bangladesh,BGD,1990,1730.3689
Barbados,BRB,1990,14086.431
Belarus,BLR,1990,8895.172
Belgium,BEL,1990,35506.926
Belize,BLZ,1990,6292.179
Benin,BEN,1990,2109.5593
Bermuda,BMU,1990,65961.41
Bhutan,BTN,1990,2895.535
Bolivia,BOL,1990,4437.8667
Botswana,BWA,1990,9164.757
Brazil,BRA,1990,10401.843
Brunei,BRN,1990,70358.73
Bulgaria,BGR,1990,12508.321
Burkina Faso,BFA,1990,981.8448
Burundi,BDI,1990,1175.155
Cameroon,CMR,1990,3483.1868
Canada,CAN,1990,34544.625
Cape Verde,CPV,1990,1816.0248
Central African Republic,CAF,1990,1200.6134
Chad,TCD,1990,1027.2444
Chile,CHL,1990,9701.824
China,CHN,1990,1423.8964
Colombia,COL,1990,8434.959
Comoros,COM,1990,2922.7122
Congo,COG,1990,5080.052
Costa Rica,CRI,1990,9810.552
Cote d'Ivoire,CIV,1990,4351.4766
Cyprus,CYP,1990,25232.2
Czechia,CZE,1990,23585.182
Democratic Republic of Congo,COD,1990,1750.1697
Denmark,DNK,1990,39027.98
Dominica,DMA,1990,7855.821
Dominican Republic,DOM,1990,6207.1123
East Asia and Pacific (WB),,1990,5159.899
Ecuador,ECU,1990,8120.001
Egypt,EGY,1990,6291.7056
El Salvador,SLV,1990,5190.0376
Equatorial Guinea,GNQ,1990,936.41974
Eswatini,SWZ,1990,4909.266
Ethiopia,ETH,1990,767.1704
Europe and Central Asia (WB),,1990,23525.43
European Union (27),,1990,28535.203
Fiji,FJI,1990,7889.8784
Finland,FIN,1990,32939.383
France,FRA,1990,33843.02
Gabon,GAB,1990,17559.006
Gambia,GMB,1990,2080.1582
Georgia,GEO,1990,11135.463
Germany,DEU,1990,36699.48
Ghana,GHA,1990,2299.6387
Greece,GRC,1990,24262.738
Grenada,GRD,1990,8571.968
Guatemala,GTM,1990,5561.071
Guinea,GIN,1990,1507.1985
Guinea-Bissau,GNB,1990,1998.1732
Guyana,GUY,1990,4818.393
Haiti,HTI,1990,3612.8152
High-income countries,,1990,31786.328
Honduras,HND,1990,3912.7021
Hong Kong,HKG,1990,28797.703
