Country Name,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65,longitude,latitude
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.59328137,20.13680795,12.20149135,2.089654904,3.834678851,0.270153782,1.009406484,2.265066625,-2.073120443,-2.324845885,4.241982804,-0.146480395,-0.728507061,5.417261666,-5.08748023,-5.411987982,-0.151921482,6.023132962,-0.084879113,0.24685282,1.401979577,-0.224758911,-10.59912817,-3.886820453,3.05578791,-1.865105256,3.592223121,-0.29053442,5.129657088,1.587868753,1.519821434,,,,,,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,1.012356491,-2.561362304,-2.705186289,0.351860939,-3.073431633,-0.762182569,0.90831651,1.167325863,-0.299011567,-2.78121446,-2.883706314,-5.032679516,-3.775330836,-0.680730731,1.654705169,2.820755708,0.762305599,-0.810511979,-0.008862623,0.569977805,0.888639937,1.337972193,0.271500832,2.933164313,3.599817154,3.898307299,4.04477788,1.803461797,-1.740179903,2.340620471,1.223827794,-0.769509279,1.505305308,1.203259727,0.187859712,-0.674532556,-0.144709798,-0.185405595,-0.544414099,-5.403820445,,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.868380295,-2.875203167,7.207967218,2.253310644,11.02278717,1.594215458,18.51541929,11.26409057,-2.681061056,8.974865343,1.97416569,-0.665291051,-1.622857186,-0.541416196,0.064764195,-1.194900383,1.535636674,-4.575031864,,,
Africa Western and Central,AFW,,-0.232405051,1.602299127,4.99067478,3.124679512,1.78394727,-3.94643128,-11.55732056,-0.819528482,12.84953714,15.1636477,8.18515221,0.666409426,1.662968721,7.496019163,-4.660260814,5.752187303,1.953340305,-4.815704663,2.391039626,-0.764811556,-9.454445936,-5.971490972,-9.068329716,-2.164208817,2.698022807,-1.321700337,-1.281858883,2.034220876,-0.453004724,3.742240523,-1.536810712,0.01026347,-3.73600798,-2.899440858,-0.738983912,1.880986239,1.4875653,0.773380333,-1.256300811,1.000027019,2.444934933,7.010741239,2.738269497,5.149780411,3.018703951,2.533621788,2.667865817,3.386356702,3.383289176,4.056565923,2.017199274,2.315174891,3.260885983,3.096784162,0.007402359,-2.533562291,-0.390664944,0.241530875,0.49295312,-3.453975656,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,-7.710277854,-3.490383248,0.548516269,2.288507798,-0.107614903,-0.670777629,0.488466543,2.496629636,-3.335953916,-6.657467258,-2.310867997,-8.876931195,-26.41177135,-1.87789751,11.35953867,9.952786592,3.8778581,1.364744017,-1.085298451,-0.267956298,0.822138302,9.943757743,-0.43183389,7.187063696,11.03078294,7.582318726,9.89004909,7.116847905,-2.808599596,0.640263325,-0.220842988,4.70651886,1.291993845,1.219880621,-2.468737307,-5.816187549,-3.409983376,-5.162111791,-3.795607965,-8.396241194,,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,3.648648547,0.795840071,-1.016802172,-3.307497203,-0.290595348,3.614655544,-2.74949638,-3.262522334,6.923617284,-11.1879053,-27.56682084,-6.622551214,10.22994936,8.969761653,14.02449593,9.780179886,-10.36110498,9.516484446,13.60806912,7.630022432,9.314397145,4.850475331,5.924211542,5.956569595,6.067882433,6.572922984,6.787228941,8.328108421,4.053139866,4.223083825,2.821642455,1.584872815,1.187234353,1.985388094,2.516827051,3.480293217,3.897740606,4.276325655,2.549358579,-3.398708468,,,
Andorra,AND,,,,,,,,,,,,-0.654422133,2.863942375,2.645683648,1.027601953,-3.354398306,-0.196879323,-0.258915175,-1.468674346,-3.063824666,-1.299976738,-3.95427565,-2.939031092,-2.561850052,-2.629335686,-2.008406721,-1.023745098,1.323843319,0.980825124,0.791996836,-0.133166841,-1.35923552,-2.869215672,-4.427065042,-0.397087332,0.852320249,3.83189583,9.143981098,3.481177447,3.730346166,1.910286412,4.982252338,0.510652937,4.042246268,3.781885829,1.895271315,2.060202314,-0.518849647,-6.885817402,-5.976684045,-1.966833159,0.834867424,-3.45153545,-1.568871338,4.519279413,3.02081678,4.646211549,0.734439351,1.574254317,1.833060593,-12.08829967,,,
Arab World,ARB,,,,,,,,,,,,,,,,,12.19755046,4.721129247,-3.697058692,7.685449571,5.686756085,0.120149235,-11.30687392,-9.175829597,-1.596640852,-4.835596951,1.48350038,-3.12006575,2.966046044,-0.721780006,8.386270122,-0.382410209,3.256040305,0.43119283,0.710278323,-0.125966877,2.311296,2.029899633,2.912326683,-0.333396774,4.352927639,-0.46147699,-1.52298207,2.471012189,6.614562905,3.037741811,3.603033147,2.043736273,3.240520161,-1.747432242,2.337697244,1.443763887,2.700095626,0.725441219,0.389027895,0.888157832,1.15295877,-1.006357856,0.468786241,0.137964422,-7.065181879,,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,0.154395319,5.350679527,-13.38604046,8.431646467,13.21214006,-2.698733694,-12.18202323,-9.680524336,-1.249370605,-8.689027152,-19.67481892,-2.492523116,-8.217458063,5.918717125,11.67776892,-4.800635543,-2.481187494,-4.341751058,1.247424369,1.354947719,0.630737901,2.834664872,-4.765111252,-2.399488321,4.909159703,-3.778905332,-2.750302954,1.966321187,-0.038010166,-7.020363051,-4.916669307,-11.34565271,-10.20864609,-15.15122468,-5.914930778,2.18634403,2.257098976,4.409938261,4.225677167,4.507817687,1.905205739,1.011430774,-0.320590314,1.934431483,-7.272172975,,,
Argentina,ARG,,3.728778517,-2.425843153,-6.788239594,8.437243988,8.896809279,-2.136477766,1.678434703,3.28693768,8.050279281,1.479494409,4.007465322,0.005835951,1.156920756,3.851757784,-1.587829386,-3.506390945,5.342990047,-5.916401453,8.577690171,-0.029609998,-6.66849782,-2.307766138,2.681981836,-0.051846592,-6.692590674,4.484326862,1.106064524,-2.603236227,-8.540862012,-3.874085354,7.614326415,6.487631818,6.802926902,4.505456801,-4.032158811,4.274586465,6.864733362,2.681002816,-4.455178459,-1.874936367,-5.447048173,-11.85478172,7.676534048,7.884937505,7.729488996,6.955533576,7.924210888,3.029500652,-6.854225055,9.300122922,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.757648183,-3.601609757,-2.994387889,-10.76510773,,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.87084354,-40.74465636,-6.638470109,7.950115708,9.103388041,7.507273417,4.479644121,8.141848534,3.957818435,6.570086565,10.27940312,13.82346307,14.60582159,11.13422934,14.64320764,14.07860742,14.69586826,7.819138194,-13.51939082,2.582897383,4.7283176,6.913698623,2.823926169,3.073178678,2.735918024,-0.161329865,7.18452239,4.952230836,7.38219728,-7.572060526,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256153661,0.091870463,-0.19579254,-3.371501219,3.146660118,-1.172397267,-2.788560506,1.356786303,0.590081607,-4.187040198,-2.583995908,1.627844464,3.121880892,-1.561204901,-6.783548017,2.959910556,-0.219737965,4.138083663,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,4.592267301,8.236766985,8.313546742,3.935887114,-0.069456681,5.365721772,10.15608026,7.642051366,11.54979755,6.697207748,5.136609192,4.82961566,2.145225601,0.838154597,-0.561528048,3.170343763,4.41621052,-6.408268751,4.319731218,3.219707934,2.568387808,1.686906765,4.340850519,-6.037663834,-0.373817347,4.721680697,4.403260934,5.016485291,11.00080029,7.605968396,-1.612584381,-13.33182584,-9.187966715,-3.298786215,2.049933173,-1.798966587,2.616052309,2.705718436,4.437253324,2.166114044,5.932276282,3.96278456,-20.85493493,,,
