Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)"
Albania,ALB,2022,15492.067
Algeria,DZA,2022,11198.233
Angola,AGO,2022,5906.1157
Antigua and Barbuda,ATG,2022,22321.87
Argentina,ARG,2022,22461.441
Armenia,ARM,2022,16057.007
Aruba,ABW,2022,41273.613
Australia,AUS,2022,51090.26
Austria,AUT,2022,55867.184
Azerbaijan,AZE,2022,15094.284
Bahamas,BHS,2022,34663.496
Bahrain,BHR,2022,51854.715
Bangladesh,BGD,2022,6263.0044
Barbados,BRB,2022,15417.297
Belarus,BLR,2022,19092.111
Belgium,BEL,2022,53287.152
Belize,BLZ,2022,9473.706
Benin,BEN,2022,3435.1716
Bermuda,BMU,2022,81165.65
Bolivia,BOL,2022,8244.235
Bosnia and Herzegovina,BIH,2022,16737.227
Botswana,BWA,2022,15518.651
Brazil,BRA,2022,15093.465
Brunei,BRN,2022,58669.902
Bulgaria,BGR,2022,26961.291
Burkina Faso,BFA,2022,2158.8584
Burundi,BDI,2022,708.1783
Cambodia,KHM,2022,4533.8643
Cameroon,CMR,2022,3723.5322
Canada,CAN,2022,49296.38
Cape Verde,CPV,2022,7379.2476
Cayman Islands,CYM,2022,71353.89
Central African Republic,CAF,2022,823.9822
Chad,TCD,2022,1412.6708
Chile,CHL,2022,25886.121
China,CHN,2022,18187.842
Colombia,COL,2022,15616.752
Comoros,COM,2022,3245.7688
Congo,COG,2022,3670.1997
Costa Rica,CRI,2022,22070.922
Cote d'Ivoire,CIV,2022,5537.3696
Croatia,HRV,2022,34302.348
Curacao,CUW,2022,23114.951
Cyprus,CYP,2022,44996.316
Czechia,CZE,2022,41052.348
Democratic Republic of Congo,COD,2022,1132.6542
Denmark,DNK,2022,59935.12
Djibouti,DJI,2022,4989.4087
Dominica,DMA,2022,11463.598
Dominican Republic,DOM,2022,19338.016
East Asia and Pacific (WB),,2022,19194.568
East Timor,TLS,2022,3943.0925
Ecuador,ECU,2022,10859.218
Egypt,EGY,2022,12780.76
El Salvador,SLV,2022,9396.014
Equatorial Guinea,GNQ,2022,14918.297
Estonia,EST,2022,37711.82
Eswatini,SWZ,2022,9058.583
Ethiopia,ETH,2022,2381.1658
Europe and Central Asia (WB),,2022,36711.48
European Union (27),,2022,45977.418
Fiji,FJI,2022,12388.108
Finland,FIN,2022,49275.152
France,FRA,2022,45904.41
Gabon,GAB,2022,13939.787
Gambia,GMB,2022,2113.6147
Georgia,GEO,2022,17078.342
Germany,DEU,2022,53969.625
Ghana,GHA,2022,5480.33
Greece,GRC,2022,31704.426
Grenada,GRD,2022,14462.937
Guatemala,GTM,2022,9162.053
Guinea,GIN,2022,2699.129
Guinea-Bissau,GNB,2022,1855.1119
Guyana,GUY,2022,35634.688
Haiti,HTI,2022,2799.1125
High-income countries,,2022,51743.68
Honduras,HND,2022,5709.124
Hong Kong,HKG,2022,58478.883
Hungary,HUN,2022,35356.777
Iceland,ISL,2022,55567.438
India,IND,2022,7112.0396
