fid,iso_a2,NAME,FIPS_10_,ISO_A3,WB_A2,WB_A3,Country Na,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed_ 6,longitude,latitude
1,NO,Norway,NO,NOR,NO,NOR,Norway,NOR,,5.432493155000000,1.991245519000000,3.003259317000000,4.219393699000000,4.470367905000000,2.961201558000000,5.370915608000000,1.403879661000000,3.656641879000000,1.205350007000000,4.933926362000000,4.528126807000000,3.804257512000000,3.280319940000000,4.374523921000000,5.330219758000000,3.721429201000000,3.473600767000000,4.017607859000000,4.229298865000000,1.249296097000000,-0.132112980000000,3.629165276000000,5.753542344000000,5.237729582000000,3.671806783000000,1.278257279000000,-0.790455920000000,0.622056009000000,1.582220916000000,2.594687444000000,2.978306474000000,2.234977116000000,4.458953888000000,3.616194623000000,4.496926706000000,4.715263835000000,2.015205256000000,1.316706803000000,2.537301756000000,1.559548852000000,0.900636375000000,0.319967274000000,3.356838854000000,1.928840748000000,1.578419866000000,1.934064976000000,-0.768153440000000,-2.958585549000000,-0.544794330000000,-0.320026519000000,1.362984873000000,-0.180216051000000,0.826056236000000,0.957500763000000,0.185059680000000,1.500180926000000,0.453550486000000,0.067992626000000,-1.300000154000000,,,
2,SE,Sweden,SW,SWE,SE,SWE,Sweden,SWE,,5.184618708000000,3.685605013000000,4.735939875000000,6.026059128000000,2.848259778000000,1.123989568000000,2.575374756000000,3.057694231000000,4.273715220000000,6.292337745000000,0.252434855000000,1.986921339000000,3.788932053000000,2.899184813000000,2.146253219000000,0.691238123000000,-1.945127147000000,1.455733753000000,3.613647519000000,1.493733159000000,0.334436786000000,1.190775380000000,1.854515080000000,4.134865287000000,1.991774101000000,2.452772613000000,3.009547766000000,2.088760519000000,1.972191268000000,-0.020759176000000,-1.817515173000000,-1.736630357000000,-2.632808452000000,3.193955400000000,3.391269115000000,1.417924238000000,3.011523033000000,4.253946709000000,4.165978928000000,4.598254794000000,1.177501892000000,1.864873974000000,1.929830384000000,3.927306257000000,2.448248440000000,4.075714897000000,2.675002671000000,-1.223069578000000,-5.151262729000000,5.052678573000000,2.418988511000000,-1.321002324000000,0.333984863000000,1.644244006000000,3.390176296000000,0.796146300000000,1.195147571000000,0.772577449000000,0.957561656000000,-3.646997137000000,,,
3,DE,Germany,GM,DEU,DE,DEU,Germany,DEU,,,,,,,,,,,,2.943650177000000,3.802476016000000,4.448017199000000,0.850760324000000,-0.496434235000000,5.400212111000000,3.581437112000000,3.098181629000000,4.104331342000000,1.198693908000000,0.376242533000000,-0.300057816000000,1.839034184000000,3.178987194000000,2.556883607000000,2.240534998000000,1.246499686000000,3.302863722000000,3.096180000000000,4.351639054000000,4.345220055000000,1.151046332000000,-1.625684284000000,2.037354210000000,1.246141876000000,0.514437285000000,1.643334273000000,1.998485321000000,1.821428031000000,2.773221251000000,1.510558261000000,-0.365628327000000,-0.755077167000000,1.197055352000000,0.788917116000000,3.933610331000000,3.114245883000000,1.152029742000000,-5.454577169000000,4.339606777000000,5.869635737000000,0.230160993000000,0.163870563000000,1.784341886000000,0.617105353000000,1.408102075000000,2.297206047000000,0.782690047000000,0.827864779000000,-4.738789048000000,,,
4,NL,Netherlands,NL,NLD,NL,NLD,Netherlands,NLD,,-1.014997573000000,5.332336874000000,2.236631337000000,6.836068175000000,7.161982015000000,1.408870388000000,4.093774101000000,5.316671613000000,5.204136994000000,4.833288749000000,3.083858425000000,2.492243202000000,4.575448997000000,2.631265356000000,-0.885417996000000,3.639544497000000,1.912635957000000,2.066333140000000,1.312405297000000,0.543128027000000,-1.461953032000000,-1.692590090000000,1.683618550000000,2.653403997000000,2.102934813000000,2.218131357000000,1.286515181000000,2.775043433000000,3.795569306000000,3.468277725000000,1.635054597000000,0.940014999000000,0.554249624000000,2.342168270000000,2.607973421000000,3.022303305000000,3.793381777000000,4.020502841000000,4.337374446000000,3.453538256000000,1.557458129000000,-0.420367740000000,-0.315789835000000,1.631188070000000,1.812699193000000,3.294949840000000,3.547359498000000,1.773356664000000,-4.161038495000000,0.824259853000000,1.078628274000000,-1.395919336000000,-0.424178694000000,1.059101254000000,1.508266184000000,1.649315547000000,2.304284733000000,1.764937264000000,1.289889121000000,-4.329611883000000,,,
8,RU,Russia,RS,RUS,RU,RUS,Russian Federation,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.162836601000000,-5.318762139000000,-14.613920490000000,-8.619681361000000,-12.539790330000000,-4.122774419000000,-3.614977841000000,1.567710782000000,-5.143116441000000,6.729495820000000,10.463718000000000,5.546717048000000,5.182746813000000,7.787965202000000,7.632492501000000,6.806606168000000,8.554944957000000,8.685760610999990,5.246214033000000,-7.827749092000000,4.453094432000000,4.218725874000000,3.849155632000000,1.538963817000000,-1.045257463000000,-2.183888387000000,0.010248462000000,1.709389916000000,2.815525692000000,2.078811309000000,-2.771565332000000,,,
9,KH,Cambodia,CB,KHM,KH,KHM,Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.002180430000000,6.414947589000000,2.746744733000000,1.100747112000000,1.957177783000000,9.994015117000000,7.561399459000000,5.967444109000000,4.619793214000000,6.662163866000000,8.564605694000000,11.484958349999900,9.091563978000000,8.583162419000000,5.124827928000000,-1.402999000000000,4.344632712000000,5.381835402000000,5.577848685000000,5.599986878000000,5.401747880000000,5.264089339000000,5.272608976000000,5.372021624000000,5.879385839000000,5.516808289000000,-4.494042119000000,,,
10,HR,Croatia,HR,HRV,HR,HRV,Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.439193378000000,6.651039639000000,2.268638289000000,-0.447277838000000,3.915520235000000,7.074104789000000,5.659852568000000,5.495907848000000,4.120278742000000,4.178203319000000,4.913674655000000,4.935740218000000,1.907548898000000,-7.184268663000000,-1.026461832000000,0.260322579000000,-1.976549571000000,-0.085232837000000,0.060814841000000,3.374092807000000,4.258016342000000,4.663175670000000,3.823527345000000,4.056979224000000,-7.689829692000000,,,
13,MM,Myanmar,BM,MMR,MM,MMR,Myanmar,MMR,,,0.093214736000000,6.462893155000000,0.866604378000000,-0.132873526000000,0.194204778000000,-7.557822957000000,0.401266231000000,4.923221786000000,1.730765151000000,2.129811556000000,0.893427999000000,-1.587862727000000,-0.151454789000000,2.362339404000000,2.775022691000000,3.656272588000000,3.900809649000000,3.522886690000000,4.290496030000000,4.813444349000000,3.720994077000000,2.801664024000000,2.560615393000000,1.855072275000000,-1.010993628000000,-4.269788482000000,-9.174340278000000,-5.798936189000000,1.740087470000000,-0.279856058000000,3.227886984000000,6.539805295000000,5.565289052000000,5.938117289000000,5.365428361000000,4.680687117000000,4.407693539000000,7.139460901000000,11.122142520000000,11.264058049999900,10.585962779999900,11.937994500000000,12.722360090000000,12.672692140000000,12.499907139999900,11.774015990000000,10.388723389999900,9.705151288000000,9.306946932000000,6.698147000000000,5.609466915000000,6.985661215000000,7.313152293000000,2.493284682000000,9.748478823999990,5.081834102000000,5.759520091000000,6.084612683000000,2.482839336000000,,,
14,VN,Vietnam,VM,VNM,VN,VNM,Vietnam,VNM,,,,,,,,,,,,,,,,,,,,,,,,,,1.446467412000000,0.483932799000000,1.293784899000000,2.844953178000000,5.057839109000000,2.877013895000000,3.751040782000000,6.428888164000000,5.954902802000000,6.842654409000000,7.699108894000000,7.675128225000000,6.659536764000000,4.434203523000000,3.553781775000000,5.618635400000000,5.098526177000000,5.288175995000000,5.902514029000000,6.550971120000000,6.559631518000000,5.985664406000000,6.123617296000000,4.652442416000000,4.370659462000000,5.364173555000000,5.159950016000000,4.156777011000000,4.317549749000000,4.872835171000000,5.570525948000000,5.118137290000000,5.728088412000000,6.016398379000000,6.001036651000000,1.979230846000000,,,
16,CA,Canada,CA,CAN,CA,CAN,Canada,CAN,,1.119386965000000,5.445858236000000,3.405212917000000,4.650755482000000,4.409518317000000,4.735675775000000,1.252816830000000,3.315250035000000,3.626733255000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.946954640000000,3.128791684000000,3.945218564000000,0.309869781000000,2.303577137000000,2.879569828000000,2.948998271000000,4.008877889000000,3.118693069000000,5.835793375000000,-0.080294839000000,-4.030419849000000,1.949628189000000,2.142309009000000,0.663247995000000,1.253613813000000,1.841026124000000,-0.089285801000000,-0.135842621000000,1.811114549000000,1.335470890000000,0.448132391000000,-6.259992165000000,,,
